word,sentiment
a,0.012516026
aah,-1.145458193
aahed,7.059500378
aahing,0.399436306
aahs,-1.402848537
aardvark,0.217855933
aardvarks,-2.485310162
aardwolf,7.186215288
ab,0.239556306
abaci,-6.417197718
aback,1.958803245
abacus,-1.626770667
abacuses,-9.527781722
abaft,-7.189096636
abalone,8.870225175
abalones,6.389872733
abandon,-0.171998762
abandoned,-0.062134713
abandonedly,-5.913016848
abandonee,-8.944904884
abandoner,3.839518423
abandoners,9.547733399
abandoning,-0.188677016
abandonment,0.926955547
abandonments,1.13065793
abandons,-0.568920838
abase,-12.28718331
abased,-4.08995442
abasement,-1.553579499
abaser,12.8
abasers,12.8
abases,-7.967027778
abash,5.772950297
abashed,0.140271579
abashedly,11.42870335
abashing,-1.466615636
abashment,-4.474523846
abasing,-0.221155388
abate,2.034082185
abated,2.214443754
abatement,-0.073821726
abatements,-6.034327263
abater,2.899830121
abates,2.791925682
abating,-0.387790381
abatis,-12.27012321
abator,-6.4
abattoir,0.910358022
abattoirs,-7.398101687
abbacy,-12.3237931
abbatial,28.1263733
abbe,7.603646568
abbes,11.21488837
abbess,10.45164523
abbesses,5.613017458
abbey,5.351912937
abbeys,-0.848286535
abbot,2.608995027
abbots,0.011991189
abbotship,0
abbott,3.284814094
abbr,-4.817182533
abbrev,4.810269202
abbreviate,-1.895617002
abbreviated,-0.629961021
abbreviates,-6.062076953
abbreviating,-4.698521116
abbreviation,-1.430271451
abbreviations,-0.002747075
abbreviator,12.8
abbreviators,12.8
abc,0.22672991
abdicate,0.642013438
abdicated,-0.654597487
abdicates,0.032945561
abdicating,-0.423418744
abdication,0.852355886
abdications,-7.524265117
abdicator,-8.337308436
abdomen,-0.500605726
abdomens,-0.9367775
abdominal,0.094440466
abdominally,3.096191254
abduct,-0.078354661
abducted,0.297444241
abducting,0.775424113
abduction,0.147605874
abductions,-0.192939948
abductor,0.308816073
abductors,2.437359498
abducts,0.193363988
abeam,3.463560662
abecedarian,4.462410026
abecedarians,22.81763919
abed,7.022082927
aberdeen,3.985613936
aberrance,5.673036974
aberrancies,12.8
aberrancy,-8.008979329
aberrant,-1.139434626
aberrantly,-6.169752223
aberrants,8.359224725
aberration,-2.074499482
aberrational,-8.336129876
aberrations,-0.440329275
abet,-0.018816991
abetment,-14.20335261
abets,-0.032057374
abetted,1.781385841
abetter,-3.297643927
abetters,12.8
abetting,-0.016521272
abettor,6.251476643
abettors,4.713284499
abeyance,0.685423674
abeyant,6.4
abhor,-1.224139827
abhorred,-0.121274544
abhorrence,-0.045789593
abhorrences,6.4
abhorrent,-4.204338115
abhorrently,-9.731372954
abhorrer,1.152879388
abhorring,-4.996522026
abhors,0.065248235
abidance,10.98804792
abide,-0.197889979
abided,-0.592342839
abider,3.107657312
abiders,-6.169752223
abides,0.80739151
abiding,0.630041595
abidingly,3.098486344
abidingness,8.056427343
abigail,3.401379917
abilene,4.493940881
abilities,0.708468614
ability,0.819309685
abiotic,-10.7789115
abject,-0.208520674
abjection,9.197973175
abjectly,-2.77013802
abjectness,11.02843019
abjuration,5.571987969
abjure,-0.464952163
abjured,2.052897349
abjurer,22.81763919
abjurers,12.8
abjures,-3.50237925
abjuring,7.063337556
ablate,-4.679433926
ablated,19.78793216
ablates,-4.396839273
ablating,6.4
ablation,1.096288902
ablations,11.15294529
ablative,4.117230935
ablatives,6.4
ablaze,1.31207936
able,0.067864057
ableness,21.0425709
abler,-4.517977794
ables,8.30898126
ablest,3.859162434
abloom,16.39498491
ablush,-4.79757608
ablution,0.85219231
ablutions,-0.779227828
ably,6.796588671
abnegate,6.168522626
abnegated,-2.201871414
abnegates,12.8
abnegating,0.868024091
abnegation,-0.131548012
abnegations,6.83415569
abner,0.303503816
abnormal,-0.069866263
abnormalities,-0.658000683
abnormality,-0.028310876
abnormally,-0.67388417
abnormals,-2.267297176
abo,-3.836801751
aboard,2.398626209
abode,1.863259286
abodes,2.782477767
aboding,12.8
aboil,-10.58564246
abolish,0.004247494
abolishable,6.4
abolished,0.102541447
abolisher,8.455430126
abolishes,5.05109435
abolishing,1.230516145
abolishment,1.165114831
abolition,6.098523337
abolitionary,12.8
abolitionism,0.725135486
abolitionist,1.805774112
abolitionists,3.649058493
abominable,-5.8120882
abominably,-7.980265937
abominate,-11.13177557
abominated,-0.597206385
abominates,9.765661783
abominating,-8.857561697
abomination,-9.7480847
abominations,-4.645441398
abominator,-0.407283991
abominators,-5.534630962
aboriginal,-0.278729316
aboriginally,12.8
aborigine,4.317783697
aborigines,0.217582013
aborning,1.861633389
abort,-2.695522598
aborted,-0.505273458
aborter,-11.26120646
abortifacient,-9.857412577
aborting,-3.521846721
abortion,-1.74265403
abortionist,0.394422208
abortionists,-6.716818613
abortions,-2.966743035
abortive,1.45115178
abortively,8.558077258
aborts,-8.830847926
abound,-0.006950921
abounded,-0.006797647
abounding,0.935623628
abounds,0.808653231
about,-0.037696412
above,0.015846201
aboveboard,-5.241562894
aboveground,6.541633724
aboves,-9.303122438
abracadabra,1.10039765
abrade,-0.013200292
abraded,-4.678859879
abrades,-2.808895701
abrading,-3.72529943
abraham,0.100873639
abrasion,-0.79605905
abrasions,-1.631795139
abrasive,0.007619509
abrasively,-0.9242789
abrasiveness,0.426580547
abrasives,-0.58252598
abreact,0
abreacting,-9.482989545
abreaction,-5.056311125
abreast,1.881866558
abridge,-3.715175227
abridged,-2.05308955
abridgement,-2.518306877
abridgements,-0.941178868
abridger,-11.34374122
abridgers,-10.28512909
abridges,-5.230456528
abridging,-3.384554788
abridgment,-4.806339462
abridgments,-1.004881383
abroad,1.108510031
abrogate,-1.401643265
abrogated,0.150871927
abrogates,1.846887437
abrogating,-3.800323987
abrogation,-5.109790924
abrogations,-8.864502833
abrogator,12.8
abrupt,-0.863080128
abruptest,12.8
abruptly,-1.580058163
abruptness,-0.526920164
abs,1.327335111
abscam,12.8
abscess,0.448517815
abscessed,3.337169247
abscesses,2.560136503
abscises,12.8
abscissa,-2.17343108
abscission,12.8
abscond,0.332848769
absconded,-0.128464666
absconders,-5.936667147
absconding,2.05811529
absconds,2.254436897
absence,0.108680815
absences,3.607061039
absent,-0.940258986
absented,-3.13157681
absentee,0.230969214
absenteeism,-0.049934297
absentees,10.46446885
absentia,2.376682676
absenting,2.60973401
absently,3.074166129
absentminded,2.933505502
absentmindedly,0.401498757
absentmindedness,4.54349393
absents,6.274882067
absinth,-0.170360349
absinthe,0.503498349
absinthes,22.81763919
absolute,0.334739091
absolutely,-0.544622537
absoluteness,2.934812823
absoluter,-7.257698267
absolutes,-0.004677925
absolutest,8.455430126
absolution,4.071302244
absolutions,-3.308752521
absolutism,-0.233770443
absolutist,0.264600879
absolutistic,-0.431240751
absolutists,-3.326920005
absolve,-0.953443298
absolved,-0.429816301
absolver,11.96007608
absolves,-3.603303555
absolving,-2.420231542
absorb,0.886213634
absorbability,-1.453393296
absorbable,2.348149181
absorbed,-0.826960133
absorbencies,12.8
absorbency,-3.260630496
absorbent,-1.273902808
absorbents,0.143616785
absorber,0.260668036
absorbers,1.413289675
absorbing,7.871155463
absorbingly,11.40109513
absorbs,3.899884469
absorption,-0.586427902
absorptions,-2.197688889
absorptive,-0.915696282
abstain,-1.10947383
abstained,0.077479839
abstainer,7.18055606
abstainers,1.316259177
abstaining,-4.225371073
abstains,3.539786448
abstemious,5.92278228
abstemiousness,16.88089238
abstention,2.902822544
abstentionism,-5.174821879
abstentionist,28.2460752
abstentions,-5.879609867
abstentious,12.8
abstinence,-0.548992776
abstinent,-5.075489948
abstract,0.399493372
abstracted,0.794162268
abstractedly,-10.58564246
abstractedness,12.8
abstracting,2.416018268
abstraction,0.640448731
abstractionism,15.89601272
abstractionist,-0.802379037
abstractionists,21.0425709
abstractions,0.473026852
abstractly,3.251864337
abstractness,0.669758758
abstractor,-8.890259721
abstractors,-4.776604457
abstracts,-0.209464046
abstruse,0.078984171
abstrusely,1.622124603
abstruseness,9.762300915
absurd,-4.684421658
absurder,12.8
absurdest,0.687567598
absurdities,-0.041893931
absurdity,-0.299619608
absurdly,-4.884222611
absurdness,-0.719890587
absurds,-6.537903689
absurdum,-3.60322275
abt,0.044050527
abundance,0.181165726
abundances,2.798094703
abundant,0.365534167
abundantly,-0.200895374
abusable,-0.324966733
abusage,14.24360613
abuse,-0.591912205
abused,-0.659517293
abuser,-2.25368111
abusers,-3.141670437
abuses,-0.096413749
abusing,-3.602062823
abusive,-0.51988548
abusively,-1.878459193
abusiveness,-3.969472891
abut,-0.245251086
abutment,0.405838081
abutments,6.402820795
abuts,1.410278368
abuttal,6.4
abutted,3.278623146
abutter,-6.4
abutting,2.413337053
abuzz,3.266692274
abysm,13.4995164
abysmal,-10.66496919
abysmally,-10.32653538
abysms,-5.033990693
abyss,0.114104319
abyssal,5.250299636
abysses,4.23193496
abyssinia,2.223238203
